Agriculture,Animal/Pets,Beauty/Fashion,Business Services,Children/Education,Electronics,Entertainment,Fitness/Sports/Outdoors,Food And Beverage,Green/Cleantech,Hardware,Lifestyle/Home,Liquor/Alcohol,Manufacturing,Medical/Health,Others,Technology/Software,Vehicles/Electrical Vehicles,Pitchers Average Age,Yearly Revenue,Gross Margin,Net Margin,EBITDA,Has Patents,Bootstrapped,SKUs,Original Ask Amount,Original Offered Equity,Deal Valuation,Company Age
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.0870851019468841,-0.292690587709301,0.03234231729856389,-0.8145650930125853,0,0,-0.7939674376352235,-0.44411732020127587,0.6309249077094473,6.152732694704104,0.46568135086221607
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1.444666048224346,2.56917293655942,0.03234231729856389,0.2308597820380593,0,0,0.15900613818327788,-0.8162987277502921,4.006134984236824,4.394449154672439,0.04114856764084229
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.1840936578002252,0.292690587709301,-0.5592598542600339,0.010770334658976213,0,0,0.15900613818327788,-1.5930077935428686,2.3185299459731357,4.430816798843313,-1.6569825652446528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8263394916894526,-0.48781764618216833,0.03234231729856389,-0.8145650930125853,0,0,-0.7939674376352235,0.12007872291020012,-0.7191591229015034,7.842278779117352,-0.8079169988019053
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.06375866052691007,0.292690587709301,-0.5592598542600339,0.010770334658976213,0,0,-2.4133444703139557,0.23612829864447285,0.2934039000567096,7.1316985104669115,-0.8079169988019053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.22896990664991784,-0.292690587709301,0.03234231729856389,-0.8145650930125853,0,0,-0.7939674376352235,-0.44411732020127587,-0.38163811524876573,4.897839799950911,-0.8079169988019053
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-2.1840936578002252,1.2683258800736377,0.03234231729856389,0.010770334658976213,0,0,-1.4990846269437756,-0.44411732020127587,1.4747274268412915,5.303304908059076,-1.6569825652446528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-2.1840936578002252,-2.439088230910842,-0.263458768480735,-0.8145650930125853,0,0,-0.7939674376352235,-0.44411732020127587,2.3185299459731357,6.915723448631314,-1.6569825652446528
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.5251216776490074,0.9431141159521922,-0.5592598542600339,0.010770334658976213,0,0,0.15900613818327788,0.23612829864447285,0.2934039000567096,6.90875477931522,-1.2324497820232792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-2.1840936578002252,2.56917293655942,0.03234231729856389,0.2308597820380593,0,0,0.15900613818327788,0.721085413385939,-0.7191591229015034,8.805075243870684,-1.6569825652446528
